ANNO_SOLARE;COD_Ateneo;NOME_ATENEO;CODICE_GETTITO;DESCRIZIONE_GETTITO;CONSUNTIVO
2008;02101;Bolzano - Libera Università;05 ;Tassa regionale per il DSU (se riscossa da università);0
2008;02101;Bolzano - Libera Università;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2008;02101;Bolzano - Libera Università;07 ;Altre entrate non necessarie per l'iscrizione;0
2008;02101;Bolzano - Libera Università;08 ;Altro da studenti, non costituente gettito;0
2008;02201;Trento - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;11025800
2008;02201;Trento - Università degli studi;02 ;Gettito relativo a corsi di dottorato;-126
2008;02201;Trento - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;119304
2008;02201;Trento - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;136269
2008;02201;Trento - Università degli studi;04a;Gettito relativo ad altri corsi;51874
2008;02201;Trento - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);1815363
2008;02201;Trento - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;148434
2008;02201;Trento - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;274378
2008;02201;Trento - Università degli studi;08 ;Altro da studenti, non costituente gettito;0
2008;02301;Verona - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;21541702
2008;02301;Verona - Università degli studi;02 ;Gettito relativo a corsi di dottorato;29786
2008;02301;Verona - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;774518
2008;02301;Verona - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;1303938
2008;02301;Verona - Università degli studi;04a;Gettito relativo ad altri corsi;15036
2008;02301;Verona - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);2656048
2008;02301;Verona - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;431528
2008;02301;Verona - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;229514
2008;02301;Verona - Università degli studi;08 ;Altro da studenti, non costituente gettito;0
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;19316771
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";02 ;Gettito relativo a corsi di dottorato;54839
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";03 ;Gettito relativo a corsi di specializzazione;4503450
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";04 ;Gettito relativo a corsi di perfezionamento e master;1304524
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";04a;Gettito relativo ad altri corsi;75108
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";05 ;Tassa regionale per il DSU (se riscossa da università);1993219
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;115456
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";07 ;Altre entrate non necessarie per l'iscrizione;347404
2008;02701;"Venezia - Università degli studi ""Cà Foscari""";08 ;Altro da studenti, non costituente gettito;395040
2008;02702;Venezia - Università IUAV;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;9115671
2008;02702;Venezia - Università IUAV;02 ;Gettito relativo a corsi di dottorato;83994
2008;02702;Venezia - Università IUAV;03 ;Gettito relativo a corsi di specializzazione;0
2008;02702;Venezia - Università IUAV;04 ;Gettito relativo a corsi di perfezionamento e master;258794
2008;02702;Venezia - Università IUAV;04a;Gettito relativo ad altri corsi;76831
2008;02702;Venezia - Università IUAV;05 ;Tassa regionale per il DSU (se riscossa da università);507000
2008;02702;Venezia - Università IUAV;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;331828
2008;02702;Venezia - Università IUAV;07 ;Altre entrate non necessarie per l'iscrizione;0
2008;02702;Venezia - Università IUAV;08 ;Altro da studenti, non costituente gettito;145176
2008;02801;Padova - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;72390030
2008;02801;Padova - Università degli studi;02 ;Gettito relativo a corsi di dottorato;97367
2008;02801;Padova - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;1396489
2008;02801;Padova - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;2235748
2008;02801;Padova - Università degli studi;04a;Gettito relativo ad altri corsi;159227
2008;02801;Padova - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);7826966
2008;02801;Padova - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;1340928
2008;02801;Padova - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;681138
2008;02801;Padova - Università degli studi;08 ;Altro da studenti, non costituente gettito;1752172
2008;03001;Udine - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;14532435
